latitude,longitude,altitude,geometry,FID,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteNo,LPC_SiteSt,LPC_Altern,Shape_Leng,Shape_Area,LP_NumTrim,DesDate,LandmarkTy,NEIGHBORHO,Full_Cit,Date_Low,Date_High,AltDate_Lo,AltDate_Hi,Arch_Prima,Arch_Alter,OtherDesig,Style_Prim,Style_Alt,BuildType,USE_ORIG,Use_Second,Use_Tertia,Date_Comb,URL_REPORT,URL_IMAGE,Web_FLAG,BORO,WebDes_Dte,BBL_string
40.70347861,-74.00811752,,Point,35,1242,MN,34,37,100 Old Slip,1000340037,First Precinct Police Station,LP-00968,"Borough of Manhattan Tax Map Block 34, Lot 37.",Block and Lot,"Lot changed since designation, block 32 lot 39 merged into this lot in 1968-87; boundary shape approximate",Designated,now the New York City Police Museum,401.5855239,6126.061451,LP-0968,2.44E+11,Individual Landmark,Battery Park City/Lower Manhattan,"Hunt & Hunt, 1909-11",1909,1911,0,0,Hunt & Hunt, , ,Italian Renaissance Palazzo, ,Police Station,"Civic, police station", ,"Muni, vacant",1909 - 1911,http://s-media.nyc.gov/agencies/lpc/lp/0968.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0968.jpg,1,Manhattan,2.44E+11, 
40.75694683,-73.92450571,,Point,37,1244,QN,643,1,35-11 35th Avenue,4006430001,Famous Players-Lasky Studio,LP-00977,"Borough of Queens Tax Map Block 643, Lot 1 in part consisting of the land on which the described building is situated.",Footprint, ,Designated,"now Kaufman's Astoria Motion Picture and Television Center, designated as Paramount Studios Building No. 1",1082.199439,68089.86741,LP-0977,2.59E+11,Individual Landmark,Astoria,"Fleischman Construction Company, 1919-21",1919,1921,0,0,Fleischman Construction Company, , , , ,Studio,"Commercial, movie studio", , ,1919 - 1921,http://s-media.nyc.gov/agencies/lpc/lp/0977.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0977.jpg,1,Queens,2.59E+11, 
40.70190624,-73.79815906,,Point,38,1245,QN,10103,16,94-20 160th Street,4101030016,Saint Monica's Church,LP-01017,"Borough of Queens Tax Map Block 10103, Lot 16 in part.",Footprint,"Designation report does not explicitly define lot-in-part, assumption is that it comprises the land on which the described building is situated.",Designated, ,330.1316422,5293.017925,LP-1017,2.90E+11,Individual Landmark,Jamaica,"Anders Peterson, builder, 1856-57",1856,1857,0,0,Anders Peterson, , ,Early Romanesque Revival, ,Church,"Religious, church, Roman Catholic", , ,1856 - 1857,http://s-media.nyc.gov/agencies/lpc/lp/1017.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1017.jpg,1,Queens,2.90E+11, 
40.71870874,-74.00399458,,Point,40,1247,MN,193,0,46-50 White Street,0,Woods Mercantile Buildings,LP-01040,"Borough of Manhattan Tax Map Block 193, Lots 10 and 11.",Multiple Lots, ,Designated, ,360.7117229,7931.035055,LP-1040,3.06E+11,Individual Landmark,Civic Center,1865,1865,1865,0,0,Unknown, , ,Italianate, ,Store and Lofts,"Commercial, store and lofts", , ,1865,http://s-media.nyc.gov/agencies/lpc/lp/1040.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1040.jpg,1,Manhattan,3.06E+11, 
40.74848185,-73.98199301,,Point,41,1248,MN,865,0,205 and 209 Madison Avenue,0,Church of the Incarnation and Rectory,LP-01046,"Borough of Manhattan Tax Map Block 865, Lot 18 and 19.",Multiple Lots, ,Designated, ,512.9913173,15703.5933,LP-1046,3.06E+11,Individual Landmark,Murray Hill,"church, Emlen T. Littell, 1864; restoration and additions, D. & J. Jardine, 1882; rectory, Edward P. Casey, 1905-06",1864,1864,1882,1906,Emlen T. Littlle,D. & J. Jardine; Edward P. Casey,William Morris; Edward Burne-Jones; Louis Comford Tiffany; John La Farge; Daniel Chester French; Augustus Saint-Gaudens; Henry Hobson Richardson,Gothic Revival,Neo Jacobean,Church,"Religious, church, Episcopal",Episcopal church, ,1864 - 1864,http://s-media.nyc.gov/agencies/lpc/lp/1046.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1046.jpg,1,Manhattan,3.06E+11, 
40.75226164,-73.98228788,,Point,42,1249,MN,841,49,452 Fifth Avenue,1008410049,Knox Building,LP-01091,"Borough of Manhattan, Tax Map Block 841, Lot 49.",Block and Lot,"Lot changed since designation, lots 41, 45, 47 merged into lot 49 in 2004-05.",Designated, ,370.461713,5120.362824,LP-1091,3.39E+11,Individual Landmark,Midtown/Midtown South,"John H. Duncan, 1901-02",1901,1902,0,0,John H. Duncan, , ,Beaux Arts, ,Office Building,"Commercial, office building", , ,1901 - 1902,http://s-media.nyc.gov/agencies/lpc/lp/1091.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1091.jpg,1,Manhattan,3.39E+11, 
40.81595084,-73.95811028,,Point,43,1250,MN,0,0,"Broadway, from West 122nd to West 135th Streets",0,"Interborough Rapid Transit System, Manhattan Valley Viaduct",LP-01094,"The portions of the roadbed of Broadway containing the above described structure, Borough of Manhattan.",Footprint,"Shape approximate, based on aerial photos",Designated, ,6819.515774,150160.4488,LP-1094,3.75E+11,Individual Landmark,"Manhattanville, Morningside Heights","William B. Parsons, engineer, 1900-04",1900,1904,0,0,William B. Parsons, , ,n/a, ,Bridge,"Infrastructure, bridge",Subway viaduct, ,1900 - 1904,http://s-media.nyc.gov/agencies/lpc/lp/1094.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1094.jpg,1,Manhattan,3.75E+11, 
40.54386161,-74.1606867,,Point,45,1252,SI,5239,48,76 Saint Alban's Place,5052390048,Saint Alban's Episcopal Church,LP-01113,"Borough of Staten Island, Tax Map Block 5239, Lot 48 in part, consisting of the land on which the described building is situated.",Footprint, ,Designated,originally the Church of the Holy Comforter,286.7259862,2777.531997,LP-1113,3.37E+11,Individual Landmark,Great Kills,"R. M. Upjohn, 1865; enlargement, R. M. Upjohn, 1872",1865,1865,1872,1872,R. M. Upjohn,R. M. Upjohn, ,Gothic Revival, ,Church,"Religious, church, Episcopal", , ,1865,http://s-media.nyc.gov/agencies/lpc/lp/1113.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1113.jpg,1,Staten Island,3.37E+11, 
40.7934043,-73.93619798,,Point,57,1264,MN,1705,1,First Avenue between East 111st and 114th Streets,1017050001,Thomas Jefferson Play Center,LP-02236,Too long,Irregular,Shape approximate,Designated, ,1619.99575,159631.9475,LP-2236,1.19E+12,Individual Landmark,Harlem,"Stanley C. Borgen, Aymar Embury II, Henry Ahrens, and others; Gilmore D. Clarke and others, landscape architects, 1935-36",1935,1936,0,0,Stanley C. Brogren; Aymar Embury II; Henry Ahrens, ,Gilmore D. Clarke; Allyn R. Jennings; W. Earle Andrews; William H. Latham,"Art Moderne, Modern Classical", ,Pool,"Civic, recreation, pool", , ,1935 - 1936,http://s-media.nyc.gov/agencies/lpc/lp/2236.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/2236.jpg,1,Manhattan,1.19E+12, 
40.68205961,-73.99653519,,Point,62,1269,BK,345,0,358-366 Court Street and 253-269 President Street,0,South Congregational Church Complex,LP-01245,"Borough of Brooklyn Tax Map Block 345, Lot 31 and 40.",Multiple Lots,"Lot changed since designation, lot 38 subdivided from lot 31 in 1985-86",Designated, ,575.0670215,19181.72736,LP-1245,3.86E+11,Individual Landmark,Carroll Gardens,"chapel, 1851; church, 1857; ladies' parlor, F. Carles Merry, 1889; rectory, Woodruff Leeming, 1893",1851,1857,1889,1893,Unknown,F. Carles Murray; Woodruff Leeming, ,Romanesque Revival and Neo Gothic, ,Church,"Religious, church, Congregational", , ,1851 - 1857,http://s-media.nyc.gov/agencies/lpc/lp/1245.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1245.jpg,1,Brooklyn,3.86E+11, 
40.75837954,-73.98708935,,Point,63,1270,MN,1016,15,222-232 West 45th Street,1010160015,Booth Theater,LP-01321,"Borough of Manhattan Tax Map Block 1016, Lot 15 in part consisting of the land on which the described building is situated.",Footprint, ,Designated, ,403.5334472,10041.45842,LP-1321,5.63E+11,Individual Landmark,Theatre District,"Henry B. Herts, 1912-13",1912,1913,0,0,Henry B. Herts, , ,Neo Italian Rensaissance, ,Theater,"Commercial, theater",Theater, ,1912 - 1913,http://s-media.nyc.gov/agencies/lpc/lp/1321.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1321.jpg,1,Manhattan,5.63E+11, 
40.75715994,-73.98447923,,Point,64,1271,MN,997,10,139-141 West 44th Street,1009970010,Hudson Theater,LP-01340,"Borough of Manhattan Tax Map Block 997, Lot 15.",Block and Lot,"Lot changed since designation, merged into lot 10 in 1994-95",Designated, ,575.1709105,12916.38507,LP-1340,5.64E+11,Individual Landmark,Theatre District,"J. B. McElfatrick & Son and Israels & Harder, 1902-04",1902,1904,0,0,J. B. McElfatrick & Son; Israels & Harder, , ,Beaux Arts, ,Theater,"Commercial, theater",Hotel, ,1902 - 1904,http://s-media.nyc.gov/agencies/lpc/lp/1340.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1340.jpg,1,Manhattan,5.64E+11, 
40.75584172,-73.98496222,,Point,65,1272,MN,995,33,124-130 West 43rd Street,1009950033,Henry Miller's Theater,LP-01357,"Borough of Manhattan Tax Map Block 995, Lot 45.",Block and Lot,"Lot changed since designation, merged into lot 33 in 2006-07; boundary shape approximate, digitized from historic tax map",Designated, ,371.6205344,8569.965961,LP-1357,5.66E+11,Individual Landmark,Theatre District,"Allen, Ingalls & Hoffman, 1917-18",1917,1918,0,0,Allen Ingalls & Hoffman, , , , ,Theater,"Commercial, theater",Theater,Movie theater; dance club,1917 - 1918,http://s-media.nyc.gov/agencies/lpc/lp/1357.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1357.jpg,1,Manhattan,5.66E+11, 
40.75814318,-73.9872632,,Point,66,1273,MN,1016,15,221-233 West 44th Street,1010160015,Shubert Theater,LP-01378,"Borough of Manhattan Tax Map Block 1016, Lot 15 in part consisting of the land on which the described building is situated.",Footprint, ,Designated, ,440.441578,12186.94734,LP-1378,5.67E+11,Individual Landmark,Theatre District,"Henry B. Herts, 1912-13",1912,1913,0,0,Henry B. Herts, , ,Venetian Renaissance, ,Theater,"Commercial, theater", , ,1912 - 1913,http://s-media.nyc.gov/agencies/lpc/lp/1378.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1378.jpg,1,Manhattan,5.67E+11, 
40.71397773,-74.00507772,,Point,73,1280,MN,153,18,51 Chambers Street,1001530018,Emigrant Industrial Savings Bank Building,LP-01438,"Borough of Manhattan, Tax Map Block 153, Lot 1 in part consisting of the land on which the described building is situated.",Footprint,"Lot changed several times since designation, most recently in 2013 when lot 18 created",Designated, ,536.9640319,17880.05472,LP-1438,4.90E+11,Individual Landmark,Civic Center,"Raymond F. Almirall, 1908-12",1908,1912,0,0,Raymond F. Almirall, , ,Beaux Arts, ,Bank,"Commercial, bank","Commercial, office building", ,1908 - 1912,http://s-media.nyc.gov/agencies/lpc/lp/1438.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1438.jpg,1,Manhattan,4.90E+11, 
40.86293013,-73.91525141,,Point,74,1281, ,0,0,"spanning the Harlem River Betweem West Fordham Road, the Bronx, and West 207th Street, Manhattan",0,University Heights Bridge,LP-01455,Too long,Irregular,"Designation report contains both landmark site description and boundary description; shape approximate, digitized mainly from roadbed",Designated, ,2329.772886,50167.61075,LP-1455,4.64E+11,Individual Landmark,"Marble Hill, Inwood","William H. Burr, consulting engineer, with Alfred P. Boller and George W. Birdsall, 1893-95; relocation and extension, Othniel F. Nichols, chief engineer, 1905-08; widening and reconstruction, 1987-92",1893,1895,1905,1908,William H. Burr; Alfred P. Boller; George W. Birdsall,Othniel F. Nichols, , , ,Bridge,"Infrastructure, bridge", , ,1893 - 1895,http://s-media.nyc.gov/agencies/lpc/lp/1455.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1455.jpg,1, ,4.64E+11, 
40.70693321,-74.01125714,,Point,76,1283,MN,23,19,8-18 Broad Street,1000230019,New York Stock Exchange,LP-01529,"Borough of Manhattan Tax Map Block 23, Lot 19 in part consisting of the land on which the described building is situated.",Footprint, ,Designated, ,564.9537753,18395.56531,LP-1529,4.90E+11,Individual Landmark,Financial District,"George B. Post, 1901-03",1901,1903,0,0,George B. Post, ,John Quincy Adams Ward; Paul Wayland Bartlett,Neoclassical, ,Stock Exchange,"Commercial, stock exchange", , ,1901 - 1903,http://s-media.nyc.gov/agencies/lpc/lp/1529.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1529.jpg,1,Manhattan,4.90E+11, 
40.76222174,-73.97493625,,Point,78,1285,MN,1271,39,714 Fifth Avenue,1012710039,Coty Building,LP-01534,"Borough of Manhattan Tax Map Block 1271, Lot 39.",Block and Lot,"Lot changed since designation, merged into lot 38; boundary shape approximate, based on historic tax maps",Designated,"later the Rizzoli Building, now part of the Henri Bendel Store",277.5700418,3295.711565,LP-1534,4.76E+11,Individual Landmark,Union Square,"Woodruff Leeming, 1907-08; glass front, René Lalique, 1910",1907,1908,0,0,Woodruff Leeming, ,Rene Lalique, , ,Store,"Commercial, retail, store", , ,1907 - 1908,http://s-media.nyc.gov/agencies/lpc/lp/1534.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1534.jpg,1,Manhattan,4.76E+11, 
40.67822096,-73.98928937,,Point,79,1286,BK,0,0,spanning the Gowanus Canal,0,Carroll Street Bridge,LP-01553,Too long,Irregular,"Shape approximate, based on excellent map in designation report",Designated, ,559.0401418,14664.47582,LP-1553,5.60E+11,Individual Landmark,Carroll Gardens,"Robert Van Buren, chief engineer; George Ingram, engineer in charge, 1888-89",1888,1889,0,0,Robert Van Buren; Geroge Ingram, ,New Jersey Steel and Iron Company; Cooper Hewitt & Co., , ,Bridge,"Infrastructure, bridge", , ,1888 - 1889,http://s-media.nyc.gov/agencies/lpc/lp/1553.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1553.jpg,1,Brooklyn,5.60E+11, 
40.75496914,-73.98562783,,Point,80,1287,MN,994,45,130-132 West 42nd Street and 113-137 West 41st Street,1009940045,Bush Tower,LP-01561,"Borough of Manhattan Tax Map Block 994, Lot 45 in part, consisting of the land on which the described building is situated.",Footprint, ,Designated, ,587.839819,14199.5696,LP-1561,5.93E+11,Individual Landmark,Theatre District,"Helmle & Corbett, 1916-18, 1921",1916,1921,0,0,Helmle & Corbett, , ,Neo-Gothic, ,Office Building,"Commercial, office building",Office Building, ,1916 - 1921,http://s-media.nyc.gov/agencies/lpc/lp/1561.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1561.jpg,1,Manhattan,5.93E+11, 
40.69003505,-73.93499107,,Point,87,1294,BK,1620,0,828 and 826 Greene Avenue,0,Antioch Baptist Church,LP-01790,"Borough of Brooklyn Tax Map Block 1620, Lots 25 and 24.",Multiple Lots, ,Designated,originally the Greene Avenue Baptist Church and Church House,442.1378271,12143.97446,LP-1790,6.59E+11,Individual Landmark,Bedford-Stuyvesant,"church, Lansing C. Holden and Paul F. Higgs, 1887-92; church house, Langston & Dahlander, 1891-93",1887,1892,1891,1893,Lansing C. Holden; Paul F. Higgs,Langston & Dahlander, ,Romanesque Revival/Queen Anne, ,Church,"Religious, church, Baptist", , ,1887 - 1892,http://s-media.nyc.gov/agencies/lpc/lp/1790.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1790.jpg,1,Brooklyn,6.59E+11, 
40.53687735,-74.23833851,,Point,92,1299,SI,7400,0,19-25 Winant Place,0,Saint Peter's German Evangelical Reformed Church at Kreischerville,LP-01875,"Borough of Staten Island Tax Map Block 7400, Lots 171. and 166.",Multiple Lots, ,Designated,"now Free Magyar Reformed Church, Parish Hall, and Rectory",651.6253253,25382.86028,LP-1875,7.75E+11,Individual Landmark,Kreischerville,"church, Hugo Kafka, 1883; parish hall, 1898; rectory, Royal Daggett, 1926",1883,1883,1926,1926,Hugh Kafka,Roal Daggett, ,Carpenter Gothic, ,Church,"Religious, church, German Evangelical Reformed", , ,1883,http://s-media.nyc.gov/agencies/lpc/lp/1875.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1875.jpg,1,Staten Island,7.75E+11, 
40.53981304,-74.23705442,,Point,93,1300,SI,7315,7,4210-4212 Arthur Kill Road,0,Westfield Township School No. 7,LP-01876,Too long,Irregular, ,Designated,later Public School 4,750.337379,31601.74195,LP-1876,8.01E+11,Individual Landmark,"Charleston, Kreischerville, Westfield Township","1896; enlarged, C. B. J. Snyder, 1906-07",1896,1896,1906,1907,Unknown,C. B. J. Snyder, , , ,School,"Civic, school", , ,1896,http://s-media.nyc.gov/agencies/lpc/lp/1876.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1876.jpg,1,Staten Island,8.01E+11, 
40.83993807,-73.84371752,,Point,94,1301,BX,3981,2,9 Westchester Square,2039810002,Van Schaick Free Reading Room/Huntington Free Library and Reading Room,LP-01886,"Borough of The Bronx Tax Map Block 3981, Lot 2 in part, consisting of the land on which the described building is situated.",Footprint,"Shape approximate, based on building layer and map in designation report",Designated, ,236.6960577,3150.602529,LP-1886,7.66E+11,Individual Landmark,"Van Nest, Morris Park, Westchester Square","Frederick Clarke Withers, 1882-83; addition, William Anderson, 1890-92",1882,1883,1890,1892,Frederick Clarke Withers,William Anderson, , , ,Library,"Institutional, library", , ,1882 - 1883,http://s-media.nyc.gov/agencies/lpc/lp/1886.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1886.jpg,1,The Bronx,7.66E+11, 
40.69030716,-73.98248807,,Point,95,1302,BK,0,0,9 DeKalb Avenue,0,Dime Savings Bank,LP-01907,Too long,Irregular,"Shape approximate, based on description and map in designation report",Designated, ,739.0341057,29776.31093,LP-1907,7.75E+11,Individual Landmark,Downtown Brooklyn,"Mowbray & Uffinger, 1906-08; enlarged, Halsey, McCormack & Helmer, 1931-32",1906,1908,1931,1932,Mowbray & Uffinger,"Halsey, McCormack & Helmer", ,Classical Revival, ,Bank,"Commercial, bank", , ,1906 - 1908,http://s-media.nyc.gov/agencies/lpc/lp/1907.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1907.jpg,1,Brooklyn,7.75E+11, 
